V1	size	type
103979.444041118	1k	unweighted
103770.876112124	1k	unweighted
104032.231402377	1k	unweighted
103652.409009796	1k	unweighted
104199.532548834	1k	unweighted
103955.862629331	1k	unweighted
104027.275702569	1k	unweighted
104305.076535657	1k	unweighted
103871.554181621	1k	unweighted
104245.023684823	1k	unweighted
104017.407505488	1k	unweighted
104201.808799943	1k	unweighted
104258.265301474	1k	unweighted
104352.924051163	1k	unweighted
104166.473641853	1k	unweighted
104306.718948454	1k	unweighted
104400.010861312	1k	unweighted
104399.891752303	1k	unweighted
104058.020435797	1k	unweighted
104216.906229427	1k	unweighted
104128.400523963	1k	unweighted
104458.078942533	1k	unweighted
103998.10238464	1k	unweighted
104098.10695223	1k	unweighted
104060.599857999	1k	unweighted
103994.965107929	1k	unweighted
104248.613186466	1k	unweighted
104219.482555482	1k	unweighted
103958.856113482	1k	unweighted
104164.352875114	1k	unweighted
103899.719562625	1k	unweighted
103899.777132159	1k	unweighted
104188.387336139	1k	unweighted
104208.890163365	1k	unweighted
104193.363699614	1k	unweighted
104185.875520467	1k	unweighted
103813.703097001	1k	unweighted
103758.647593572	1k	unweighted
103667.931148055	1k	unweighted
104239.393646444	1k	unweighted
103994.337706719	1k	unweighted
104297.669926726	1k	unweighted
103955.867058038	1k	unweighted
104281.449539846	1k	unweighted
104391.18810695	1k	unweighted
104498.653396015	1k	unweighted
104232.867404872	1k	unweighted
103874.141966353	1k	unweighted
103951.020905162	1k	unweighted
104151.7581432	1k	unweighted
103983.395508716	1k	unweighted
104005.295393047	1k	unweighted
103774.717802816	1k	unweighted
104215.798964324	1k	unweighted
104304.38028927	1k	unweighted
104290.573342877	1k	unweighted
104397.35371704	1k	unweighted
103729.733090723	1k	unweighted
104151.053987607	1k	unweighted
104093.77385179	1k	unweighted
104181.600710046	1k	unweighted
104305.19050885	1k	unweighted
104054.771587222	1k	unweighted
104131.336509822	1k	unweighted
104635.140822427	1k	unweighted
104310.307155013	1k	unweighted
104057.610428939	1k	unweighted
104806.709773046	1k	unweighted
103735.880983774	1k	unweighted
104096.001975436	1k	unweighted
103695.513117078	1k	unweighted
104454.856314546	1k	unweighted
104252.457399348	1k	unweighted
104132.569486329	1k	unweighted
104221.807136683	1k	unweighted
104042.206261037	1k	unweighted
103982.08018471	1k	unweighted
103962.278254474	1k	unweighted
104207.792037135	1k	unweighted
104317.067733993	1k	unweighted
104169.333203005	1k	unweighted
104129.189111704	1k	unweighted
104442.047398594	1k	unweighted
103794.127743394	1k	unweighted
103879.459416926	1k	unweighted
104381.37461698	1k	unweighted
104435.89650374	1k	unweighted
104148.440341619	1k	unweighted
103835.883567491	1k	unweighted
104279.13601176	1k	unweighted
103863.384209173	1k	unweighted
103989.768374449	1k	unweighted
104185.600677347	1k	unweighted
104669.584770049	1k	unweighted
103969.064663699	1k	unweighted
104222.521502385	1k	unweighted
104616.340590525	1k	unweighted
104029.811594292	1k	unweighted
104072.811155032	1k	unweighted
104291.058314052	1k	unweighted
104156.302503051	1k	unweighted
104035.7346083	1k	unweighted
104142.229161831	1k	unweighted
104069.306100073	1k	unweighted
104139.357811049	1k	unweighted
104370.722916681	1k	unweighted
104278.426509728	1k	unweighted
104220.217253465	1k	unweighted
104267.494290535	1k	unweighted
104170.220375447	1k	unweighted
104139.010704061	1k	unweighted
104123.089055314	1k	unweighted
104034.610405669	1k	unweighted
103782.41994328	1k	unweighted
104522.755329314	1k	unweighted
104015.252956877	1k	unweighted
104333.421735664	1k	unweighted
104407.971183812	1k	unweighted
104245.411656354	1k	unweighted
104003.1239556	1k	unweighted
104233.057628742	1k	unweighted
104197.553319092	1k	unweighted
104086.620988749	1k	unweighted
104394.50868567	1k	unweighted
104321.455737457	1k	unweighted
104264.471849147	1k	unweighted
104410.300677778	1k	unweighted
103915.097256397	1k	unweighted
104382.562947878	1k	unweighted
103912.302019735	1k	unweighted
103783.191491654	1k	unweighted
103969.011933014	1k	unweighted
104493.775418719	1k	unweighted
103999.875632309	1k	unweighted
104514.251645076	1k	unweighted
103994.452454493	1k	unweighted
103858.305399119	1k	unweighted
104078.509753024	1k	unweighted
104090.720784762	1k	unweighted
104099.260355136	1k	unweighted
104359.375244345	1k	unweighted
104152.093825271	1k	unweighted
103913.087742388	1k	unweighted
103901.768036106	1k	unweighted
104091.371852904	1k	unweighted
104213.533448812	1k	unweighted
104539.228507085	1k	unweighted
104243.937526516	1k	unweighted
104378.335156761	1k	unweighted
104208.854367718	1k	unweighted
103942.595025606	1k	unweighted
104402.647976907	1k	unweighted
104068.573757888	1k	unweighted
103829.331773004	1k	unweighted
104167.072710649	1k	unweighted
104328.867699793	1k	unweighted
104311.994441059	1k	unweighted
104097.773272924	1k	unweighted
104353.476734543	1k	unweighted
104642.658973772	1k	unweighted
104242.063782229	1k	unweighted
103961.214109797	1k	unweighted
104083.638934039	1k	unweighted
103897.984247966	1k	unweighted
104137.499445979	1k	unweighted
103888.471109708	1k	unweighted
104142.828669732	1k	unweighted
103828.400181618	1k	unweighted
104316.325262826	1k	unweighted
103965.799243303	1k	unweighted
103903.984461487	1k	unweighted
104156.460508883	1k	unweighted
104156.870427144	1k	unweighted
104421.658252653	1k	unweighted
104201.295059268	1k	unweighted
103930.387373119	1k	unweighted
104196.881231054	1k	unweighted
103850.246145877	1k	unweighted
103875.688850685	1k	unweighted
103958.555644141	1k	unweighted
103855.459982175	1k	unweighted
104258.045137007	1k	unweighted
104035.943735672	1k	unweighted
104256.952232635	1k	unweighted
104070.463061984	1k	unweighted
104368.870956815	1k	unweighted
103987.265733431	1k	unweighted
104055.570051139	1k	unweighted
104063.170865288	1k	unweighted
104217.128582189	1k	unweighted
104042.131845574	1k	unweighted
104034.336599974	1k	unweighted
104043.512585143	1k	unweighted
103667.132532782	1k	unweighted
104277.36970612	1k	unweighted
104050.891654197	1k	unweighted
104007.369583786	1k	unweighted
104224.002838348	1k	unweighted
104678.745636801	1k	unweighted
103905.522451128	1k	unweighted
103673.812195539	1k	unweighted
103992.854136939	1k	unweighted
104167.525818652	1k	unweighted
104078.577385998	1k	unweighted
104287.001708584	1k	unweighted
104200.829093323	1k	unweighted
104150.023296454	1k	unweighted
104298.934438655	1k	unweighted
103704.726167995	1k	unweighted
104434.689064991	1k	unweighted
104318.458911507	1k	unweighted
104154.498503814	1k	unweighted
104371.909928042	1k	unweighted
104112.153895475	1k	unweighted
103759.621347586	1k	unweighted
104080.599299748	1k	unweighted
104260.279544497	1k	unweighted
104079.764760254	1k	unweighted
104053.651295637	1k	unweighted
103997.361848364	1k	unweighted
103848.157641001	1k	unweighted
104005.757135685	1k	unweighted
103647.62047253	1k	unweighted
104023.659306778	1k	unweighted
104383.105509155	1k	unweighted
104049.74788761	1k	unweighted
104113.929648731	1k	unweighted
104015.677126186	1k	unweighted
104095.536547543	1k	unweighted
104281.392800038	1k	unweighted
104324.991044921	1k	unweighted
104221.658927445	1k	unweighted
103591.571933016	1k	unweighted
103969.840945855	1k	unweighted
104349.076219932	1k	unweighted
104223.460755231	1k	unweighted
104324.237934744	1k	unweighted
104169.467658854	1k	unweighted
104094.514349777	1k	unweighted
103767.158190344	1k	unweighted
103590.249525755	1k	unweighted
103994.900230816	1k	unweighted
104259.12843522	1k	unweighted
104005.90672509	1k	unweighted
103994.161921816	1k	unweighted
103786.80732812	1k	unweighted
103995.056753105	1k	unweighted
103902.513466948	1k	unweighted
104163.863665064	1k	unweighted
104060.53626156	1k	unweighted
104310.759500178	1k	unweighted
104165.70891724	1k	unweighted
104591.43163419	1k	unweighted
104068.711363286	1k	unweighted
104244.63867488	1k	unweighted
103956.838824326	1k	unweighted
104201.506651356	1k	unweighted
104086.677971205	1k	unweighted
103869.892658201	1k	unweighted
104216.538756154	1k	unweighted
104467.194541634	1k	unweighted
104207.866651207	1k	unweighted
103886.885523832	1k	unweighted
104161.096372731	1k	unweighted
103926.836714773	1k	unweighted
103988.603113557	1k	unweighted
104567.71757321	1k	unweighted
104402.197931957	1k	unweighted
103844.088684804	1k	unweighted
104093.427041868	1k	unweighted
104264.458945152	1k	unweighted
103770.320578688	1k	unweighted
104108.682166049	1k	unweighted
104141.144817468	1k	unweighted
104269.518721218	1k	unweighted
104040.900029858	1k	unweighted
103914.597019011	1k	unweighted
104233.453134334	1k	unweighted
104166.148384257	1k	unweighted
104083.849496424	1k	unweighted
103775.662054985	1k	unweighted
104184.508898548	1k	unweighted
104295.677576389	1k	unweighted
104293.132108207	1k	unweighted
104134.46270666	1k	unweighted
104168.64424464	1k	unweighted
104096.363361274	1k	unweighted
103658.124305726	1k	unweighted
104227.693882523	1k	unweighted
103830.939698	1k	unweighted
104428.018325766	1k	unweighted
104034.800923837	1k	unweighted
104205.875807272	1k	unweighted
104100.036656354	1k	unweighted
103966.0991285	1k	unweighted
104008.848094395	1k	unweighted
103806.483165018	1k	unweighted
104366.610970044	1k	unweighted
104043.236034625	1k	unweighted
104453.152406249	1k	unweighted
104040.48896383	1k	unweighted
104098.202937502	1k	unweighted
103847.934546969	1k	unweighted
104003.676498468	1k	unweighted
104156.172166098	1k	unweighted
104288.944842601	1k	unweighted
104110.106884021	1k	unweighted
104200.229934631	1k	unweighted
104197.314341293	1k	unweighted
104121.965226411	1k	unweighted
104204.763293793	1k	unweighted
104176.961174318	1k	unweighted
104178.719111986	1k	unweighted
104077.572479321	1k	unweighted
103996.025760966	1k	unweighted
104305.711576527	1k	unweighted
104261.041145611	1k	unweighted
103740.380106962	1k	unweighted
104100.153669057	1k	unweighted
103840.419062873	1k	unweighted
104037.348438921	1k	unweighted
103956.230678039	1k	unweighted
104268.50999695	1k	unweighted
104328.259148658	1k	unweighted
104274.320637006	1k	unweighted
103873.426995036	1k	unweighted
104346.26320845	1k	unweighted
104106.542259702	1k	unweighted
104234.320774314	1k	unweighted
104437.589075881	1k	unweighted
104346.51010417	1k	unweighted
103658.078719393	1k	unweighted
104260.972027462	1k	unweighted
104430.713648601	1k	unweighted
103918.246712866	1k	unweighted
104116.96808001	1k	unweighted
104134.637631978	1k	unweighted
103996.873580141	1k	unweighted
104138.826632875	1k	unweighted
103827.357267761	1k	unweighted
104257.700384604	1k	unweighted
103868.610866069	1k	unweighted
104154.343471953	1k	unweighted
104258.456585145	1k	unweighted
103831.211410638	1k	unweighted
103996.274117302	1k	unweighted
104231.282850915	1k	unweighted
104046.838176938	1k	unweighted
103977.293699977	1k	unweighted
104173.28286813	1k	unweighted
104120.260152235	1k	unweighted
104077.742769172	1k	unweighted
104212.988436588	1k	unweighted
104064.739434979	1k	unweighted
103954.364178222	1k	unweighted
104053.95733716	1k	unweighted
104319.28014638	1k	unweighted
104123.075574249	1k	unweighted
103805.506930597	1k	unweighted
104229.742631626	1k	unweighted
104447.97742672	1k	unweighted
103868.328415895	1k	unweighted
104093.839449616	1k	unweighted
