V1	size	type
36909.5934828197	0.5k	unweighted parsed
36980.6618568653	0.5k	unweighted parsed
36908.9397659481	0.5k	unweighted parsed
36948.9360089943	0.5k	unweighted parsed
36860.3274845734	0.5k	unweighted parsed
36933.7114274837	0.5k	unweighted parsed
36871.0038658638	0.5k	unweighted parsed
36956.5537309196	0.5k	unweighted parsed
36883.9495479093	0.5k	unweighted parsed
37015.4368262109	0.5k	unweighted parsed
36935.1516666285	0.5k	unweighted parsed
36926.1395787067	0.5k	unweighted parsed
37035.414446671	0.5k	unweighted parsed
36968.9863381747	0.5k	unweighted parsed
36969.8548910789	0.5k	unweighted parsed
36936.4570266053	0.5k	unweighted parsed
36950.8631501604	0.5k	unweighted parsed
36892.8237751504	0.5k	unweighted parsed
36970.7019139153	0.5k	unweighted parsed
36898.7917224946	0.5k	unweighted parsed
36930.2238199601	0.5k	unweighted parsed
36917.3521099539	0.5k	unweighted parsed
37080.2446287967	0.5k	unweighted parsed
36924.9129719703	0.5k	unweighted parsed
36939.6604331444	0.5k	unweighted parsed
37082.2757859009	0.5k	unweighted parsed
36962.6771636785	0.5k	unweighted parsed
36935.4743219323	0.5k	unweighted parsed
36957.5837064568	0.5k	unweighted parsed
36864.3722269968	0.5k	unweighted parsed
36873.6529681338	0.5k	unweighted parsed
36962.5386614871	0.5k	unweighted parsed
36925.8308064466	0.5k	unweighted parsed
36974.939440208	0.5k	unweighted parsed
36955.5353397526	0.5k	unweighted parsed
36979.5350060001	0.5k	unweighted parsed
36955.0595729491	0.5k	unweighted parsed
36957.5215454773	0.5k	unweighted parsed
36976.6605206128	0.5k	unweighted parsed
37092.9735799929	0.5k	unweighted parsed
37005.5091401929	0.5k	unweighted parsed
36974.8236549764	0.5k	unweighted parsed
36843.8850647567	0.5k	unweighted parsed
36998.1950539984	0.5k	unweighted parsed
36912.3136619393	0.5k	unweighted parsed
36960.9696986431	0.5k	unweighted parsed
36976.0566285828	0.5k	unweighted parsed
36912.6378085399	0.5k	unweighted parsed
36993.6254031006	0.5k	unweighted parsed
37028.4341499681	0.5k	unweighted parsed
36948.9302139911	0.5k	unweighted parsed
36877.513853531	0.5k	unweighted parsed
36873.1292629006	0.5k	unweighted parsed
36938.249025882	0.5k	unweighted parsed
37084.3741513144	0.5k	unweighted parsed
36931.440022128	0.5k	unweighted parsed
36916.4369221684	0.5k	unweighted parsed
37108.98095352	0.5k	unweighted parsed
37114.945691758	0.5k	unweighted parsed
36933.941423039	0.5k	unweighted parsed
37013.0294267522	0.5k	unweighted parsed
36979.1882584279	0.5k	unweighted parsed
36991.6402357458	0.5k	unweighted parsed
36970.6931304124	0.5k	unweighted parsed
36880.9918131438	0.5k	unweighted parsed
36930.4691135342	0.5k	unweighted parsed
36992.6801335537	0.5k	unweighted parsed
36973.7615289252	0.5k	unweighted parsed
37182.3229523751	0.5k	unweighted parsed
37028.2044807995	0.5k	unweighted parsed
36906.5310788055	0.5k	unweighted parsed
36953.7069346814	0.5k	unweighted parsed
37015.200274374	0.5k	unweighted parsed
37016.0066447398	0.5k	unweighted parsed
36887.0846122584	0.5k	unweighted parsed
37040.9259762022	0.5k	unweighted parsed
36982.2107192026	0.5k	unweighted parsed
36999.9154105417	0.5k	unweighted parsed
36945.6922613674	0.5k	unweighted parsed
37002.1537294243	0.5k	unweighted parsed
36958.4529617482	0.5k	unweighted parsed
36929.3008334713	0.5k	unweighted parsed
36978.6923002098	0.5k	unweighted parsed
36963.3189187925	0.5k	unweighted parsed
37020.7215063098	0.5k	unweighted parsed
36906.861627572	0.5k	unweighted parsed
36982.6041700767	0.5k	unweighted parsed
36892.6111326992	0.5k	unweighted parsed
37028.5950042747	0.5k	unweighted parsed
36969.5120600258	0.5k	unweighted parsed
36989.447094943	0.5k	unweighted parsed
37000.4101635857	0.5k	unweighted parsed
36923.6156656881	0.5k	unweighted parsed
37004.2513476098	0.5k	unweighted parsed
36938.8108886518	0.5k	unweighted parsed
37079.6410860822	0.5k	unweighted parsed
37095.5514084954	0.5k	unweighted parsed
37043.1781441901	0.5k	unweighted parsed
36980.1753123566	0.5k	unweighted parsed
36907.8321153489	0.5k	unweighted parsed
36960.3316805269	0.5k	unweighted parsed
36966.6931149529	0.5k	unweighted parsed
36939.9549738966	0.5k	unweighted parsed
36942.1073644608	0.5k	unweighted parsed
36972.6871959565	0.5k	unweighted parsed
36910.1820431202	0.5k	unweighted parsed
36949.7269025364	0.5k	unweighted parsed
37032.7143437774	0.5k	unweighted parsed
36996.2034442702	0.5k	unweighted parsed
36952.7845085761	0.5k	unweighted parsed
36963.8543080315	0.5k	unweighted parsed
36984.2748315655	0.5k	unweighted parsed
36910.2724972333	0.5k	unweighted parsed
37053.26706396	0.5k	unweighted parsed
36875.5447497748	0.5k	unweighted parsed
37024.1091165469	0.5k	unweighted parsed
37047.1574783559	0.5k	unweighted parsed
36933.3868570069	0.5k	unweighted parsed
37087.6739383897	0.5k	unweighted parsed
36983.0596400555	0.5k	unweighted parsed
36890.4004159525	0.5k	unweighted parsed
36959.701247922	0.5k	unweighted parsed
36930.907611692	0.5k	unweighted parsed
