V1 Size
7.16338902945575 1k
7.75424013623159 1k
6.50108087334937 1k
8.19346771954055 1k
7.83145200069415 1k
7.78024596044904 1k
7.04774945162684 1k
7.78312463531443 1k
7.04397065342788 1k
7.56008221698806 1k
6.84229616584966 1k
6.80821463948941 1k
6.8554933977846 1k
7.22447662549425 1k
7.04376126462441 1k
7.25957831269047 1k
7.32023247881031 1k
7.70382682889792 1k
6.91891948175593 1k
7.77053922700278 1k
7.41391720379073 1k
6.89157276724715 1k
7.34223385671396 1k
7.09528135666373 1k
7.666411196915 1k
7.24632459862182 1k
6.93861091915668 1k
8.06696732206512 1k
7.73205853914856 1k
7.07354495588923 1k
8.24734036954041 1k
7.3987308410089 1k
7.70310176376157 1k
7.56440248329312 1k
8.2385176065829 1k
7.86174328533161 1k
7.11855552979431 1k
7.07216086567143 1k
7.41567861882185 1k
6.98182460270282 1k
7.58205590102264 1k
7.75119730494222 1k
7.8887497221144 1k
7.61903355149747 1k
8.35931780489896 1k
7.15534129259292 1k
7.85873736067575 1k
7.38699772325304 1k
7.41559873269285 1k
7.4198191612284 1k
7.22619651084853 1k
7.91046641701197 1k
6.81968517248747 1k
7.83533572303291 1k
7.77831337439586 1k
7.81259596838101 1k
6.16108121141588 1k
6.88471636616624 1k
5.5492636162809 1k
7.06905576993577 1k
6.9253421879189 1k
7.27496818352137 1k
7.31324458169225 1k
7.87085977283796 1k
7.53005616334654 1k
7.56194146343787 1k
7.9495027711518 1k
7.74762287965563 1k
7.2177679814506 1k
6.89001463738303 1k
7.74069689833834 1k
6.50968367407339 1k
7.42920705497418 1k
8.59240451663556 1k
7.7453810762025 1k
7.51376440546625 1k
7.57530676693627 1k
6.78117160523103 1k
8.66616183557268 1k
7.96628603162601 1k
7.96036430846787 1k
7.28357571227101 1k
8.0207546250033 1k
6.58032223678323 1k
7.49423422399943 1k
8.02922495658645 1k
6.23718706847085 1k
7.52194770086808 1k
8.48255423443753 1k
6.97964913549178 1k
9.0599985177273 1k
7.41341185340461 1k
7.09036584138763 1k
7.65496957795189 1k
8.23487033129283 1k
6.6610168298042 1k
7.45986541027546 1k
