V1	size	type
104844.412933544	0.5k	unweighted parsed
104394.69119213	0.5k	unweighted parsed
104562.31973307	0.5k	unweighted parsed
104390.119680268	0.5k	unweighted parsed
104422.965415961	0.5k	unweighted parsed
104559.753681799	0.5k	unweighted parsed
103927.759587165	0.5k	unweighted parsed
104448.976036502	0.5k	unweighted parsed
104542.813033352	0.5k	unweighted parsed
104621.095105505	0.5k	unweighted parsed
105314.950392398	0.5k	unweighted parsed
104503.8839337	0.5k	unweighted parsed
103952.497608854	0.5k	unweighted parsed
104416.32200497	0.5k	unweighted parsed
104558.256119393	0.5k	unweighted parsed
104800.853706027	0.5k	unweighted parsed
104417.898339519	0.5k	unweighted parsed
104493.310640231	0.5k	unweighted parsed
104637.045170661	0.5k	unweighted parsed
104540.888601188	0.5k	unweighted parsed
104416.63515502	0.5k	unweighted parsed
104454.650889852	0.5k	unweighted parsed
104390.913323338	0.5k	unweighted parsed
104161.321306923	0.5k	unweighted parsed
104529.960944816	0.5k	unweighted parsed
104167.810874424	0.5k	unweighted parsed
104522.465778273	0.5k	unweighted parsed
104163.35045101	0.5k	unweighted parsed
104272.368267868	0.5k	unweighted parsed
104363.585891707	0.5k	unweighted parsed
104832.132071344	0.5k	unweighted parsed
104202.556875013	0.5k	unweighted parsed
104242.272419386	0.5k	unweighted parsed
104220.330819716	0.5k	unweighted parsed
104102.484513587	0.5k	unweighted parsed
104652.930760262	0.5k	unweighted parsed
104196.042724278	0.5k	unweighted parsed
104919.858971668	0.5k	unweighted parsed
105024.993516072	0.5k	unweighted parsed
105011.620622033	0.5k	unweighted parsed
104574.508494139	0.5k	unweighted parsed
103928.471184915	0.5k	unweighted parsed
104033.300697195	0.5k	unweighted parsed
104599.253054037	0.5k	unweighted parsed
104506.569757917	0.5k	unweighted parsed
104169.894077514	0.5k	unweighted parsed
104438.676888471	0.5k	unweighted parsed
103802.381412367	0.5k	unweighted parsed
104378.543700632	0.5k	unweighted parsed
104363.273975452	0.5k	unweighted parsed
104532.131926709	0.5k	unweighted parsed
104453.657358888	0.5k	unweighted parsed
104153.333950618	0.5k	unweighted parsed
104170.698380845	0.5k	unweighted parsed
104192.032818915	0.5k	unweighted parsed
104917.557141168	0.5k	unweighted parsed
104234.496723145	0.5k	unweighted parsed
104560.2055098	0.5k	unweighted parsed
104663.074237677	0.5k	unweighted parsed
103999.727404842	0.5k	unweighted parsed
104993.550050986	0.5k	unweighted parsed
104537.747205466	0.5k	unweighted parsed
104141.166761578	0.5k	unweighted parsed
104391.491953741	0.5k	unweighted parsed
104328.326881235	0.5k	unweighted parsed
104578.066088383	0.5k	unweighted parsed
104602.775709513	0.5k	unweighted parsed
104492.721318042	0.5k	unweighted parsed
104395.581830896	0.5k	unweighted parsed
104241.610429647	0.5k	unweighted parsed
104300.797274747	0.5k	unweighted parsed
104569.243695922	0.5k	unweighted parsed
104769.604357657	0.5k	unweighted parsed
104037.159322347	0.5k	unweighted parsed
104409.198670792	0.5k	unweighted parsed
104443.456814071	0.5k	unweighted parsed
104006.374108566	0.5k	unweighted parsed
104631.15700561	0.5k	unweighted parsed
103869.946993023	0.5k	unweighted parsed
104392.80491494	0.5k	unweighted parsed
104392.425033861	0.5k	unweighted parsed
104028.608032483	0.5k	unweighted parsed
103688.489024148	0.5k	unweighted parsed
104447.246286028	0.5k	unweighted parsed
104091.566824905	0.5k	unweighted parsed
104081.524271215	0.5k	unweighted parsed
104330.702888764	0.5k	unweighted parsed
104257.731900932	0.5k	unweighted parsed
104212.560247156	0.5k	unweighted parsed
103911.684172113	0.5k	unweighted parsed
103801.34168713	0.5k	unweighted parsed
104279.317538477	0.5k	unweighted parsed
104650.712640746	0.5k	unweighted parsed
104523.573433414	0.5k	unweighted parsed
104066.65359559	0.5k	unweighted parsed
104133.962210954	0.5k	unweighted parsed
104598.896700738	0.5k	unweighted parsed
104459.186727706	0.5k	unweighted parsed
104267.342773975	0.5k	unweighted parsed
104140.668442545	0.5k	unweighted parsed
104517.014988219	0.5k	unweighted parsed
104099.394185558	0.5k	unweighted parsed
104328.882103517	0.5k	unweighted parsed
104642.393947296	0.5k	unweighted parsed
104268.526806527	0.5k	unweighted parsed
104053.308486305	0.5k	unweighted parsed
104340.875850711	0.5k	unweighted parsed
104903.282236487	0.5k	unweighted parsed
104825.725832525	0.5k	unweighted parsed
104696.647120898	0.5k	unweighted parsed
104119.685654554	0.5k	unweighted parsed
104326.735531825	0.5k	unweighted parsed
103980.572297018	0.5k	unweighted parsed
104273.09669691	0.5k	unweighted parsed
104604.708017546	0.5k	unweighted parsed
104272.512863859	0.5k	unweighted parsed
103670.977613606	0.5k	unweighted parsed
104133.689595926	0.5k	unweighted parsed
104772.139774901	0.5k	unweighted parsed
104645.433839905	0.5k	unweighted parsed
104206.349384527	0.5k	unweighted parsed
104839.81496532	0.5k	unweighted parsed
103690.085411885	0.5k	unweighted parsed
104285.403883293	0.5k	unweighted parsed
104341.9991884	0.5k	unweighted parsed
104032.171867092	0.5k	unweighted parsed
104550.495413207	0.5k	unweighted parsed
105253.163509644	0.5k	unweighted parsed
104779.987180773	0.5k	unweighted parsed
104722.935712136	0.5k	unweighted parsed
104708.491278613	0.5k	unweighted parsed
104292.067644589	0.5k	unweighted parsed
104563.577342668	0.5k	unweighted parsed
104266.347762212	0.5k	unweighted parsed
104617.342475731	0.5k	unweighted parsed
103997.76714192	0.5k	unweighted parsed
104353.676609954	0.5k	unweighted parsed
104546.704672786	0.5k	unweighted parsed
104411.767617811	0.5k	unweighted parsed
104535.964132315	0.5k	unweighted parsed
104398.327272895	0.5k	unweighted parsed
104250.057386676	0.5k	unweighted parsed
104161.051006562	0.5k	unweighted parsed
104281.482338431	0.5k	unweighted parsed
104451.324984891	0.5k	unweighted parsed
104525.968128158	0.5k	unweighted parsed
104683.559237137	0.5k	unweighted parsed
104324.756317966	0.5k	unweighted parsed
104067.477199725	0.5k	unweighted parsed
104268.300180555	0.5k	unweighted parsed
104364.889820402	0.5k	unweighted parsed
104422.716608376	0.5k	unweighted parsed
103989.847441142	0.5k	unweighted parsed
104693.852003806	0.5k	unweighted parsed
105003.739151756	0.5k	unweighted parsed
104780.950862248	0.5k	unweighted parsed
104183.940973347	0.5k	unweighted parsed
104095.50141297	0.5k	unweighted parsed
104220.178064796	0.5k	unweighted parsed
104898.291014577	0.5k	unweighted parsed
