Stimulus type PhonemeLength
ahōtaune nonword 8
anorengai nonword 8
aungitimā nonword 8
uihimeto nonword 8
wikuruta nonword 8
māwaitōī nonword 8
meoekepa nonword 8
momituou nonword 8
taongirua nonword 8
tūkeiati nonword 8
waawhipua nonword 8
anurohui nonword 8
inēhiape nonword 8
moruhāwhe nonword 8
tīnīrire nonword 8
upaerene nonword 8
aimātukē nonword 8
awīhoita nonword 8
ngāikaihā nonword 8
rēnuhuna nonword 8
ekieroko nonword 8
riwhatēhi nonword 8
tawhetōrū nonword 8
ingiwapae nonword 8
āwhateaau nonword 8
inihuwhao nonword 8
oetoraae nonword 8
ouahunao nonword 8
īhumaewa nonword 8
mamatōhī nonword 8
upātipau nonword 8
pāhāpāko nonword 8
amamīana nonword 8
tāmarutō nonword 8
wiwhinawe nonword 8
omekenou nonword 8
āwhakerīi nonword 8
utimaimu nonword 8
owhakenie nonword 8
upukūpei nonword 8
whānōwati nonword 8
wikūkika nonword 8
ahatiati nonword 8
hohīrehī nonword 8
wiratanī nonword 8
āaturaha nonword 8
aokongihū nonword 8
kemeroie nonword 8
kōmuawhiu nonword 8
mopawēti nonword 8
piwhiuaho nonword 8
rētekapū nonword 8
urenenie nonword 8
wawaningā nonword 8
whāohuwhea nonword 8
āapataue nonword 8
akawhaeru nonword 8
ēnamohui nonword 8
hapikēma nonword 8
keneungaa nonword 8
ngemetata nonword 8
tawhengawhi nonword 8
kīronopi nonword 8
pīwīkere nonword 8
ikōmamui nonword 8
kemoramo nonword 8
hōkāropō nonword 8
ēkiutuki nonword 8
niemuroa nonword 8
ōkōumapa nonword 8
wawemiti nonword 8
ātāhūata nonword 8
eohungana nonword 8
rukiohoe nonword 8
kūhatapō nonword 8
pomawhiha nonword 8
orēuairi nonword 8
roīapunga nonword 8
tīkīhiki nonword 8
ōungokatu nonword 8
hetēnetū nonword 8
kāweroni nonword 8
uikūkure nonword 8
anganariū nonword 8
ātāonena nonword 8
eweahiru nonword 8
kuaānuna nonword 8
murawēka nonword 8
ūanekari nonword 8
urieawei nonword 8
ngomaongaa nonword 8
pēpiaoni nonword 8
tārorangī nonword 8
tupuakīi nonword 8
wāukōroi nonword 8
airinoae nonword 8
āmaupōwhā nonword 8
ereruuni nonword 8
haaumāwe nonword 8
tūkiuapū nonword 8
owetawhiu nonword 8
awheomoke nonword 8
tāhupipū nonword 8
ūngāpākau nonword 8
petūwāne nonword 8
māorawau nonword 8
kupukērā nonword 8
āremāuhi nonword 8
hungumingo nonword 8
ikūtangou nonword 8
okētohau nonword 8
uawhakiwhi nonword 8
aongarūtu nonword 8
ētakoāki nonword 8
tinitūni nonword 8
ānoahumi nonword 8
ukororāka nonword 9
kaāwhipoki nonword 9
utungawhāna nonword 9
aengitione nonword 9
tokautāwhi nonword 9
ākerahopa nonword 9
kekungaowha nonword 9
mouaokawha nonword 9
rōkaritou nonword 9
hānekoraa nonword 9
tāngeititū nonword 9
tīapakengi nonword 9
tūmoitoka nonword 9
ikāmimihi nonword 9
tonuawhato nonword 9
ēkoretāwhā nonword 9
rengoukoma nonword 9
ranorahīa nonword 9
engarahimu nonword 9
awakuaowha nonword 9
wāpaimapo nonword 9
whiwhetāwau nonword 9
māikōkawhe nonword 9
ngitiikepa nonword 9
tewhiriaki nonword 9
ronetinoa nonword 9
neerengero nonword 9
āiaipoina nonword 9
parātoitī nonword 9
irikoeata nonword 9
makiumaka nonword 9
pōpenioni nonword 9
unihokowha nonword 9
urerinewhi nonword 9
wētōkahoa nonword 9
ēkeakaupō nonword 9
unipetioi nonword 9
notītikea nonword 9
wēhereine nonword 9
īhuwhiakia nonword 9
manaupewā nonword 9
ohurimōke nonword 9
inoharūrū nonword 9
wherokeneu nonword 9
ahumuratō nonword 9
ehokirame nonword 9
whanaowanā nonword 9
ewauonaua nonword 9
hūhiawhingo nonword 9
kāneruata nonword 9
angiatawei nonword 9
whaiekēkao nonword 9
aukaungauē nonword 9
kanahaiwhō nonword 9
pūwehawia nonword 9
utūhinape nonword 9
āmanikahī nonword 9
eteratinē nonword 9
uwhineteto nonword 9
hōtureipo nonword 9
ngaunikōne nonword 9
ikākapātā nonword 9
kengikeine nonword 9
mōkāraahi nonword 9
raupawhiau nonword 9
ōpuwhekaui nonword 9
ōwāhupora nonword 9
ihaotēkare nonword 10
teērutipau nonword 10
tikaweneri nonword 10
ūrikaumurī nonword 10
ihoremipei nonword 10
mēnakengoro nonword 10
taturakūwā nonword 10
pāhawahāhē nonword 10
ōutumineka nonword 10
akekauaheu nonword 10
ānamupoanga nonword 10
atuutioena nonword 10
miatungutau nonword 10
atemauwhiwhi nonword 10
toretoiaiē nonword 10
whenuniwhiao nonword 10
mauānanangō nonword 10
roaumoiohi nonword 10
koaiteuena nonword 10
whutarirari nonword 10
huanaatenā nonword 10
rongitapīma nonword 10
kītanataiē nonword 10
upokarokoā nonword 10
ingaāmorama nonword 10
ngiwāmarihi nonword 10
nūhawanore nonword 10
imukukungio nonword 10
whāwhānupawa nonword 10
miwētawhara nonword 10
uatupouiwa nonword 10
kaoepiwaka nonword 10
ranganguwhikī nonword 10
oheminihia nonword 10
namōmihangu nonword 10
awāpihoaua nonword 10
pārōnokorō nonword 10
ūtūnatawhai nonword 10
kanohītito nonword 10
tānaniwherā nonword 10
īminapowae nonword 10
kēngawakōki nonword 10
huporeiuwha nonword 10
āanupahora nonword 10
matōrenuhē nonword 10
hāngāwāngaka nonword 10
wapētungangi nonword 10
īkaukauoni nonword 10
ikoikupoto nonword 10
āneitoukea nonword 10
huatatāorē nonword 10
huwhātitito nonword 10
kenitīkona nonword 10
mōkihautūī nonword 10
wauīhotaru nonword 10
wehaukāuni nonword 10
upuauoutao nonword 10
etenāhaune nonword 10
tūekukeaki nonword 10
tawhiraāmoi nonword 10
heahuahengā nonword 10
teawēwainga nonword 10
uariuwhaeti nonword 10
tātomāmengo nonword 10
ngemarangūhe nonword 10
otangaepāhu nonword 10
hianeekapō nonword 10
penenekāmu nonword 10
atāunguremi nonword 10
hipīnangehi nonword 10
pongātotēti nonword 10
tīahihānau nonword 10
ōotiahaungi nonword 10
paimiakawhu nonword 10
tītihauāpō nonword 10
kengamunahie nonword 11
kowenokiaoa nonword 11
rūkawheikerā nonword 11
tītaahikūmu nonword 11
upungotoruai nonword 11
itatonomaue nonword 11
whakeraangūhī nonword 11
ikōtaheniko nonword 11
ōpanenaueru nonword 11
nihoumitangē nonword 11
īkahikengema nonword 11
nuakiwhārōka nonword 11
tākātainotū nonword 11
wheiahanaenu nonword 11
ākingakeriaā nonword 11
inunakewatē nonword 11
uhauhiuhingo nonword 11
umemihatīhi nonword 11
ōpōpārapunu nonword 11
tāruhurumōu nonword 11
īwāhunengaro nonword 11
aihangiaotoā nonword 11
pūekeaihike nonword 11
auhutīmoaro nonword 11
taritihapēō nonword 11
māheneketoa nonword 11
utīwhinohini nonword 11
aānamirerai nonword 11
ōpūnarauaue nonword 11
opehorawanē nonword 11
wāmotīpurai nonword 11
popoungurōra nonword 11
okihakāwāki nonword 11
horuatūaowhe nonword 11
kānaaneareo nonword 11
korotēiauwha nonword 11
rorepoipāhē nonword 11
pāhopepotōā nonword 11
īkenīkapeti nonword 11
ōngawenihunga nonword 11
āngiahoutukē nonword 11
hiwirāorōra nonword 11
ngiporiurume nonword 11
nitumaotaha nonword 11
āwapakōwaine nonword 12
apahoehāpāwa nonword 12
whengokowhakupo nonword 12
akaraoteaohā nonword 12
whakōiaweahua nonword 12
awhiwhanakātai nonword 12
uarawipokero nonword 12
wewārangangura nonword 12
atokirakōmāa nonword 12
tautikōhuupo nonword 12
inaitāwinohu nonword 12
ngahuakutiūti nonword 12
atangōponehai nonword 12
patetētememe nonword 12
āwhikuamapiho nonword 12
tikīhauaieko nonword 12
tumeiroruare nonword 12
kōioromāpara nonword 12
opakihehonie nonword 12
ātapiāranano nonword 12
awheruhiherii nonword 12
pōhahitotowhā nonword 12
mitāmooheiri nonword 12
ūrirātāinara nonword 12
wepuhipahapō nonword 12
wetatotūkowa nonword 12
paratepōiaoi nonword 12
poreeraumangē nonword 12
pūparunaauhe nonword 12
kueukaiwikau nonword 12
hua word 3
iwa word 3
unu word 3
uri word 3
ake word 3
rei word 3
hea word 3
ono word 3
anga word 3
kīa word 3
oma word 3
aku word 3
hai word 3
tōu word 3
āti word 3
amo word 3
iri word 3
rae word 3
whao word 3
ati word 3
wau word 3
ingo word 3
apo word 3
ato word 3
uku word 3
whei word 3
nai word 3
mia word 3
atā word 3
ngia word 3
nao word 3
opa word 3
mui word 3
epa word 3
hōu word 3
heri word 4
nāku word 4
pana word 4
pepa word 4
taki word 4
tunu word 4
wira word 4
inoi word 4
māku word 4
rahi word 4
rīhi word 4
roro word 4
tāku word 4
tipu word 4
hora word 4
ingoa word 4
kimi word 4
rīki word 4
runga word 4
ēnei word 4
motu word 4
nēhi word 4
tāra word 4
tohu word 4
kīia word 4
mema word 4
puhi word 4
taea word 4
tōna word 4
wana word 4
hiki word 4
toka word 4
kata word 4
kati word 4
kōkā word 4
mōna word 4
pāmu word 4
raro word 4
waia word 4
wiki word 4
hika word 4
mira word 4
rānō word 4
tahu word 4
waha word 4
muia word 4
anei word 4
pēhi word 4
pāhi word 4
panga word 4
wena word 4
wiri word 4
hāte word 4
hūpē word 4
pāka word 4
tōia word 4
āhau word 4
ngenge word 4
tōtō word 4
kikī word 4
pāti word 4
rito word 4
tori word 4
tuia word 4
hana word 4
poua word 4
rino word 4
kohu word 4
mākū word 4
pere word 4
poro word 4
maka word 4
ngira word 4
āhea word 4
rēhi word 4
kori word 4
teka word 4
kēna word 4
kohe word 4
kūhā word 4
mato word 4
neti word 4
tauā word 4
uara word 4
napi word 4
pake word 4
papi word 4
whēnā word 4
rārā word 4
hōkī word 4
mehe word 4
ngote word 4
pihi word 4
mapi word 4
where word 4
napō word 4
tāmi word 4
wawā word 4
kāho word 4
uira word 4
rīwhi word 4
piha word 4
reme word 4
toma word 4
kumu word 4
popa word 4
reki word 4
rotu word 4
whenu word 4
ekea word 4
tārū word 4
māti word 4
ākua word 4
poia word 4
weto word 4
pēre word 4
āmai word 4
nguha word 4
hina word 4
hewa word 4
haua word 4
nōta word 4
kera word 4
wōna word 4
rewhi word 4
pārō word 4
piua word 4
hāro word 4
hihī word 4
rehu word 4
hāpa word 4
wāra word 4
ōhui word 4
teki word 4
whānu word 4
roka word 4
mākā word 4
huhua word 5
huinga word 5
kaute word 5
rēhia word 5
taura word 5
tēnei word 5
hāpai word 5
hoatu word 5
wēnei word 5
koinā word 5
paipa word 5
rauru word 5
toenga word 5
āpiti word 5
haria word 5
hāunga word 5
kāore word 5
kēhia word 5
kōrua word 5
mahia word 5
kaitā word 5
rānei word 5
rātou word 5
pātai word 5
kuini word 5
ngahau word 5
hāngai word 5
kuaka word 5
tiaki word 5
āpōpō word 5
whawhai word 5
erangi word 5
taenga word 5
parau word 5
ngākau word 5
tarai word 5
konei word 5
aranga word 5
ēkene word 5
purea word 5
whaanga word 5
numia word 5
kapia word 5
kētia word 5
tahia word 5
tāina word 5
pirau word 5
ākuni word 5
koata word 5
taria word 5
whaene word 5
kōhue word 5
rarua word 5
haika word 5
kōawa word 5
parai word 5
tūpae word 5
waero word 5
mātai word 5
peehi word 5
pōkia word 5
koopu word 5
piana word 5
tūmau word 5
hākui word 5
kakai word 5
mōkau word 5
ārani word 5
wheako word 5
hauwhā word 5
kāenga word 5
maiki word 5
hohou word 5
maihe word 5
ekena word 5
hawai word 5
kātua word 5
ngaere word 5
pūhae word 5
taunu word 5
raihi word 5
kōhai word 5
tīare word 5
ānini word 5
marei word 5
māipi word 5
maina word 5
haita word 5
heita word 5
ōhanga word 5
pūawa word 5
whaitu word 5
māeri word 5
uranga word 5
hauta word 5
putua word 5
tupua word 5
inarā word 5
tīnia word 5
tētai word 5
mekea word 5
tioke word 5
meiha word 5
wātia word 5
haota word 5
omeka word 5
hiahia word 6
kākano word 6
neherā word 6
tahito word 6
tatari word 6
ahiahi word 6
kāreti word 6
pakeke word 6
pūkenga word 6
tutuki word 6
āianei word 6
mataku word 6
tākuta word 6
tūroro word 6
whakapā word 6
kohinga word 6
rāwhiti word 6
tahuri word 6
tāpiri word 6
meatia word 6
pākeke word 6
motokā word 6
whakawā word 6
takoto word 6
tapahi word 6
titiro word 6
whakatā word 6
huihui word 6
mōmona word 6
tētahi word 6
whakatō word 6
amuamu word 6
makere word 6
turaki word 6
mutunga word 6
pōtiki word 6
rahaki word 6
tinana word 6
mahara word 6
whakaea word 6
kirīmi word 6
mātenga word 6
papaki word 6
whiringa word 6
aitanga word 6
hiakai word 6
hikina word 6
matahī word 6
paipai word 6
tīkapa word 6
pepeha word 6
pouako word 6
rūruhi word 6
tīkiti word 6
arohia word 6
mahuru word 6
ngahuru word 6
taiohi word 6
tāpuke word 6
tītaha word 6
whitinga word 6
manako word 6
ngātaki word 6
pikinga word 6
pirihi word 6
tīhema word 6
kawenga word 6
mātene word 6
pātōtō word 6
ruanui word 6
mahere word 6
mōkete word 6
kukume word 6
manaia word 6
waerea word 6
tōrere word 6
kīhini word 6
mihinga word 6
mōhaka word 6
tāwini word 6
ngātata word 6
pōriro word 6
pātene word 6
paerua word 6
anōtia word 6
hūpeke word 6
kōtore word 6
mōtini word 6
nonohi word 6
poharu word 6
tahirā word 6
tahora word 6
tauria word 6
tineia word 6
hīnota word 6
paheke word 6
paraka word 6
kaiwhiu word 6
meamea word 6
pahika word 6
pātaia word 6
pōnānā word 6
rīkona word 6
pākira word 6
wākena word 6
pekanga word 6
tūturi word 6
rērere word 6
eketia word 6
hōrapa word 6
rēwana word 6
hiriwa word 6
kōhine word 6
pāwaha word 6
kānara word 6
pākōkō word 6
pūtere word 6
hēpara word 6
māmari word 6
tūkiri word 6
whākina word 6
awarua word 6
taetae word 6
rūpeke word 6
tohutō word 6
purari word 6
hīhita word 6
kāroti word 6
putunga word 6
uriuri word 6
wahanga word 6
horapa word 6
tatanga word 6
tīpapa word 6
hokonga word 6
kātipa word 6
koikoi word 6
mākene word 6
makuru word 6
takere word 6
toihau word 6
whāpuku word 6
kauria word 6
koropa word 6
parera word 6
pūrena word 6
whiuwhiu word 6
aikiha word 6
pekenga word 6
rītaia word 6
hoehoe word 6
pihanga word 6
rautao word 6
tāhoro word 6
tūtahi word 6
maioro word 6
hēkene word 6
paingia word 6
raiona word 6
whaitua word 6
whakāko word 6
hinawa word 6
turuki word 6
